GAMEPLAY_RuralHuntersBlind1,Hunter's Blind,hunter's blind is a small tower that hunters shoot from,
GAMEPLAY_RuralHuntersBlind2,Hunter's Blind,,
GAMEPLAY_RuralMine,Abandoned Mine,Location name. An abandoned mineshaft the player can travel through.,
GAMEPLAY_RuralOldCabins,Derelict Cabins,abandoned cabins,
GAMEPLAY_RuralPicnicWaterfall,Misty Falls Picnic Area,a small picnic area near a waterfall,
GAMEPLAY_RuralRadioTower,Signal Hill,hilltop where there is a radio tower; signal refers to radio signal,
GAMEPLAY_RuralRemoteCave,Cave,a simple cave,
GAMEPLAY_RuralRiverRoadBend,Long Curve,a long curve in the road,
GAMEPLAY_RuralRoadBlock,End of the Road,the road ends in rock here,
GAMEPLAY_RuralTown,Rural Crossroads,Small crossroads area with buildings.,
GAMEPLAY_RuralTownWaterfall,Upper Falls,Upper part of waterfalls.,
GAMEPLAY_RuralWaterfall1Lower,Lower Falls,lower part of waterfalls,
GAMEPLAY_RuralWaterfall1Upper,Cascading Falls,falls refers to waterfalls,
GAMEPLAY_Russian,Русский,Do not translate,
GAMEPLAY_Safe,Safe,,
GAMEPLAY_SaltyCrackers,Salty Crackers,,
GAMEPLAY_SaltyCrackersDescription,"Dried, salty crackers. Will make you thirsty.",,
GAMEPLAY_Sandbox,Sandbox,,
GAMEPLAY_SandboxAlpha,*Sandbox Alpha*,,
GAMEPLAY_SavedGame,Saved Game,,
GAMEPLAY_Savegameinconsistenciesfound,Savegame inconsistencies found,,
GAMEPLAY_SavingGame,Saving Game,,Đang lưu Game
GAMEPLAY_ScrapMetal,Scrap Metal,,
GAMEPLAY_ScrapMetalDescription,Bits and pieces of metal scrounged from various sources.,,
GAMEPLAY_ScreenMode,Screen Mode,,
GAMEPLAY_Screenshot,Screenshot,,
GAMEPLAY_ScreenshotsSaved,*Screenshots saved to Desktop,,
GAMEPLAY_SearchedPostfix,(Searched),,(Đã tìm kiếm)
GAMEPLAY_Searching,Searching...,,Đang tìm kiếm...
GAMEPLAY_SelectBedRoll,Select Bedroll,,
GAMEPLAY_Selecthowmuchwatertodrop,Select how much water to drop,,
GAMEPLAY_Selecthowmuchwatertotake,Select how much water to take,,
GAMEPLAY_Selecthowmuchwatertotransfer,Select how much water to transfer,,
GAMEPLAY_SelectNumToDrop,Select how many {item-name} to drop,,
GAMEPLAY_SelectNumToHarvest,Select how many {item-name} to harvest,,
GAMEPLAY_SelectNumToTransfer,Select how many {item-name} to transfer,,
GAMEPLAY_SelectTool,Select Tool,,Chọn công cụ
GAMEPLAY_SetDefaultFOV,Set Default FOV,,
GAMEPLAY_SewingKit,Sewing Kit,,
GAMEPLAY_SewingKitDescription,A basic sewing kit.  Required to craft and repair clothing.,,
GAMEPLAY_Sewingkitrequiredtorepairclothing,Sewing kit required to repair clothing,,
GAMEPLAY_Shoes,Shoes,,
GAMEPLAY_ShoesDescription,Run of the mill running shoes. Useless in the great outdoors.,,
GAMEPLAY_Shovel,Shovel,,
GAMEPLAY_ShovelDescription,Missing,,
GAMEPLAY_SilentClearing,Silent Clearing,,
GAMEPLAY_SimpleTools,Simple Tools,,
GAMEPLAY_SimpleToolsDescription,"Simple tools, usable for basic crafting and repair.",,
GAMEPLAY_SkiJacket,Ski Jacket,,
GAMEPLAY_SkiJacketDescription,"Synthetic, quilted ski jacket. Keeps the core warm but at the expense of windproofing.",,
GAMEPLAY_SleepInterrupted,Something woke you up.,,
GAMEPLAY_SleepInterruptedWolf,Interrupted by wolf during sleep!  Had been sleeping for,,
GAMEPLAY_SlightlyTired,Slightly Tired,,
GAMEPLAY_SmallCupboard,Small Cupboard,,
GAMEPLAY_SmashCan,Smash Can,,
GAMEPLAY_SmashedItem,Smashed {item-name}.,,
GAMEPLAY_SmashedOpenPostfix,(Smashed Open),,
GAMEPLAY_SmashingOpenProgress,Smashing Open...,,
GAMEPLAY_Snare,Snare,,
GAMEPLAY_SnareDescription,"A simple snare, used to capture small game.",,
GAMEPLAY_Snow,Snow,,
GAMEPLAY_SnowShelter,Snow Shelter,,
GAMEPLAY_Softwood,Softwood,,
GAMEPLAY_Sort,Sort,,
GAMEPLAY_SortAlphabetic,Alphabetic,,
GAMEPLAY_SortCondition,Condition,,
GAMEPLAY_SortHeader,Sort:,,
GAMEPLAY_SortWeight,Weight,,
GAMEPLAY_Sound,Sound,,
GAMEPLAY_South,South,,
GAMEPLAY_SouthEast,South East,,
GAMEPLAY_SouthWest,South West,,
GAMEPLAY_Spacebar,Space,,
GAMEPLAY_Spend,Spend,"as in ""spend X hours"" doing something",
GAMEPLAY_SprainedAnkle,Sprained Ankle,,
GAMEPLAY_SprainedAnkleDescription,"You have twisted your ankle and are now suffering a sprain. Your mobility will be reduced until you treat it, or it heals over time.",,
GAMEPLAY_SprainedAnkleHealed,Sprained Ankle Healed,,
GAMEPLAY_SprainedAnkleHUD,Suffered sprained ankle,,
GAMEPLAY_SprainedAnkleLog,Sprained ankle.,,
GAMEPLAY_Stalker,Stalker,,
GAMEPLAY_Start,Start,,
GAMEPLAY_Startedfire,Started fire.,,
GAMEPLAY_StartFire,Start Fire,,
GAMEPLAY_StartFishing,Start Fishing,,
GAMEPLAY_StartHarvest,Start Harvest,,
GAMEPLAY_StartingFire,Starting Fire...,,
GAMEPLAY_StartingFireIndoors,Starting a fire indoors requires a stove or fireplace,,
GAMEPLAY_Starving,Starving,,
GAMEPLAY_StormLantern,Storm Lantern,,
GAMEPLAY_StormLanternDescription,Wind-proof storm lantern with mechanical ignitor. Burns lamp oil.,,
GAMEPLAY_Story,Story,,Câu chuyện
GAMEPLAY_StoryNotAvailable,"(Not Available In Alpha)
Play the story of bush pilot[D79D03FF] Will Mackenzie[-] as he struggles to survive, crashed in the wilderness in the aftermath of a mysterious geomagnetic disaster.
(Season One - Ep. 1-?)",,
GAMEPLAY_Stove,Stove,,
GAMEPLAY_Strength,Strength,,
GAMEPLAY_Strike,Strike,,
GAMEPLAY_StrikeMatch,Strike Match,,
GAMEPLAY_Subtitles,Subtitles,,
GAMEPLAY_Success,Success,,
GAMEPLAY_SufferedBurnsHUD,Suffered burns,,
GAMEPLAY_SufferedBurnsLog,Suffered burns.,,
GAMEPLAY_SummitSoda,Summit Soda,,
GAMEPLAY_SummitSodaDescription,Sweet carbonated drink. Full of high-fructose corn syrup.,,
GAMEPLAY_SurvivalPanel,Survival Panel,,
GAMEPLAY_SurvivalTimewillnotbesenttoLeaderboards,Survival Time will not be sent to Leaderboards,,
GAMEPLAY_Survivor,Survivor,,
GAMEPLAY_SymptomConditionDrain,Condition Drain,,
GAMEPLAY_SymptomDehydration,Dehydration,,
GAMEPLAY_SymptomFatigue,Fatigue,,
GAMEPLAY_SymptomMaxConditionReduced,Reduced Condition Threshold,,
GAMEPLAY_SymptomMobilityReduced,Reduced Mobility,,
GAMEPLAY_Table,Table,,
GAMEPLAY_Tablet,Tablet,,
GAMEPLAY_Tablets,Tablets,,
GAMEPLAY_Take,Take,,
GAMEPLAY_TakeAll,Take All,,
GAMEPLAY_TakeAntibiotics,Take Antibiotics,,
GAMEPLAY_TakeOff,Take Off,,
GAMEPLAY_TakePainkillers,Take Painkillers,,
GAMEPLAY_TakingAntibiotics,Taking Antibiotics...,,
GAMEPLAY_TakingPainkillers,Taking Painkillers...,,
GAMEPLAY_TakingWaterProgress,Taking Water...,,
GAMEPLAY_TestCache,Test Cache,,
GAMEPLAY_TestWaterSource,Test Water Source,,
GAMEPLAY_TheTooth,The Tooth,,
GAMEPLAY_ThinWoolSweater,Thin Wool Sweater,,Áo len mỏng
GAMEPLAY_ThinWoolSweaterDescription,"Thin-knit wool sweater. A decent mid-layer, and stays warm even when wet.",,
GAMEPLAY_Thirst,Thirst,,
GAMEPLAY_Thirsty,Thirsty,,
,,,
GAMEPLAY_TimeForHarvest,Time For Harvest,How long it will take to harvest something,
GAMEPLAY_TimeForRepair,Time For Repair,,
GAMEPLAY_TimeRemaining,Time Remaining,,Thời gian còn lại
GAMEPLAY_TimeToCreate,Time To Create,,
GAMEPLAY_Tinder,Tinder,,
GAMEPLAY_TinderPlug,Tinder Plug,,Đồ tạo lửa
GAMEPLAY_TinderPlugDescription,"A small plug or bundle of flammable material (paper, wool, cloth, dry bark or needles, etc.) required to start a fire.",,
GAMEPLAY_TinofSardines,Tin of Sardines,,
GAMEPLAY_TinofSardinesDescription,Little fish in a can.,,
GAMEPLAY_Tired,Tired,,
GAMEPLAY_ToggleRun,Toggle Run,,
GAMEPLAY_Toilet,Toilet,,
GAMEPLAY_TomatoSoupCan,Tomato Soup,,
GAMEPLAY_TomatoSoupCanDescription,"A rich, sweet-smelling soup. Eat it hot and it'll warm your heart. Might even stave off starvation for a little longer.",,
GAMEPLAY_Toodifficulttoopen,Too difficult to open,,
GAMEPLAY_Toofarawaytoplaceobject,Too far away to place object,,
GAMEPLAY_Tool,Tool,,Công cụ
GAMEPLAY_ToolToUse,Tool To Use:,,
GAMEPLAY_Toowindytolightmatch,Too windy to light match,,
GAMEPLAY_Toowindytolighttorch,Too windy to light torch.,,
GAMEPLAY_Toque,Toque,,Mũ Canada
GAMEPLAY_ToqueDescription,Knitted wool cap. Canadian style.,,
GAMEPLAY_Torch,Torch,,
GAMEPLAY_TorchDescription,A simple torch -- the same kind that's dispelled the darkness for thousands of years. Might even keep the Wolves at bay.,,
GAMEPLAY_TrainBridge,Train Bridge,,
GAMEPLAY_TrainLoadingArea,Train Loading Area,,
GAMEPLAY_TrainUnloading,Train Unloading,,
GAMEPLAY_Transfer,Transfer,,
GAMEPLAY_TransferAll,Transfer All,,
GAMEPLAY_TrappersHomestead,Trapper's Homestead,,
GAMEPLAY_TraveltoCoastalHighway,Travel to Coastal Highway,,
GAMEPLAY_TravelToMine,Travel to Abandoned Mine,,
GAMEPLAY_TraveltoMysteryLake,Travel to Mystery Lake,,
GAMEPLAY_TraveltoPleasantValley,Travel to Pleasant Valley,on-screen text for when the player is about to travel to the Pleasant Valley region from another region,
GAMEPLAY_TraveltoRavine,Travel to Ravine,,
GAMEPLAY_Treatment,Treatment,,
GAMEPLAY_Trunk,Trunk,,
GAMEPLAY_Tumbler1,Tumbler 1,,Khóa 1
GAMEPLAY_Tumbler2,Tumbler 2,,Khóa 2
GAMEPLAY_Tumbler3,Tumbler 3,,Khóa 3
GAMEPLAY_Tumbler4,Tumbler 4,,Khóa 4
GAMEPLAY_Tumbler5,Tumbler 5,,Khóa 5
GAMEPLAY_TunnelCollapse,Tunnel Collapse,,
GAMEPLAY_Twilight,Twilight,"as in ""twilight hours""",
GAMEPLAY_TypeHeader,Type:,,Loại:
GAMEPLAY_Ultra,Ultra,,
GAMEPLAY_UnableToForage,You were unable to forage any usable wood,,
GAMEPLAY_Unarmed,Unarmed,,
GAMEPLAY_Unequip,Unequip,,
GAMEPLAY_units,units,,
GAMEPLAY_UnitsOfMeasurement,Units,,
GAMEPLAY_UnitsToHarvest,Units To Harvest:,,
GAMEPLAY_Unknown,Unknown,,
GAMEPLAY_UnnamedPond,Unnamed Pond,,
GAMEPLAY_unsafe,unsafe,,
GAMEPLAY_Untreated,Untreated,untreated or unsafe water,
GAMEPLAY_Use,Use,,Sử dụng
GAMEPLAY_USE,USE,,SỬ DỤNG
GAMEPLAY_UseCanOpener,Use Can Opener,,
GAMEPLAY_UseFire,Fire,,
GAMEPLAY_UseFireStriker,Firestriker,,
GAMEPLAY_UseFlintAndSteel,Flint,,Đá lửa
GAMEPLAY_UseHatchet,Use Hatchet,,
GAMEPLAY_UseKnife,Use Knife,,Sử dụng dao
GAMEPLAY_UseMatch,Match,,
GAMEPLAY_Using,Using,"As in ""Using knife"" or ""Using fists""",
GAMEPLAY_VenisonCooked,Venison (Cooked),,
GAMEPLAY_VenisonCookedDescription,Cooked flesh from a deer.,,
GAMEPLAY_VenisonRaw,Venison (Raw),,
GAMEPLAY_VenisonRawDescription,Flesh from a deer. Cook to eat safely.,,
GAMEPLAY_VerticalSync,Vertical Sync,,
GAMEPLAY_VeryTired,Very Tired,,
GAMEPLAY_Visor,Visor,,
GAMEPLAY_Voice,Voice,,
GAMEPLAY_Voyageur,Voyageur,,
GAMEPLAY_WakeTime,Wake Time,,
GAMEPLAY_Warmer,Warmer,,
GAMEPLAY_WarmthBonus,Warmth Bonus,,
GAMEPLAY_Washer,Washer,,
GAMEPLAY_Water,Water,,Nước
GAMEPLAY_WaterAddedToInventory,{qual-value} water ({quant-value}) added to inventory,,
GAMEPLAY_WaterBottleMedium,Water Bottle,,
GAMEPLAY_WaterBottleMediumDescription,Plastic bottle that holds up to 1L (34 oz) of liquid.,,
GAMEPLAY_WaterBottleSmall,Water Bottle,,
GAMEPLAY_WaterBottleSmallDescription,Plastic bottle that holds up to 500ml (17 oz) of liquid.,,
GAMEPLAY_WaterfrontCottages,Waterfront Cottages,,
GAMEPLAY_WaterPotable,Water (Potable),,
GAMEPLAY_WaterPotableDescription,Water that is safe to drink.,,
GAMEPLAY_WaterPurificationTablets,Water Purification Tablets,,
GAMEPLAY_WaterPurificationTabletsDescription,A packet of water purification tablets. Can help prevent dysentery. One tablet treats 1L/0.26 gallon of non-potable water.,,
GAMEPLAY_WaterPurified,{quant-value} water purified,,
GAMEPLAY_WaterQuantityQuality,{quant-value} Water ({qual-value}),,
GAMEPLAY_WaterQuantityQualityRequiredToCookItem,{quant-value} {qual-value} water required to cook item,,
GAMEPLAY_WaterSupply,Water supply,,
GAMEPLAY_WaterUnsafe,Water (Unsafe),,
GAMEPLAY_WaterUnsafeDescription,Water that may make you ill.,,
GAMEPLAY_WeakIce,Weak Ice,,
GAMEPLAY_Wear,Wear,,
GAMEPLAY_WearingPostfix,(Wearing),,
GAMEPLAY_WeatherConditions,Conditions,,
GAMEPLAY_Weight,Weight,,Cân nặng
GAMEPLAY_WeightAddedInventory,{weight-value} {item-name} added to inventory,,
GAMEPLAY_Wenttosleep,Went to sleep.,,
GAMEPLAY_West,West,,
GAMEPLAY_WetPercentPostfix,({%-value}% Wet),,
GAMEPLAY_WetPostfix,(Wet),,
GAMEPLAY_Wind,Wind,,
GAMEPLAY_Windchill,Windchill,,
GAMEPLAY_Window,Window,,Cửa sổ
GAMEPLAY_WindproofBonus,Windproof Bonus,,
GAMEPLAY_WithWindchill,With Windchill,,
GAMEPLAY_Wokeupaftersleeping,Woke up after sleeping,,
GAMEPLAY_Wolf,Wolf,,Chó sói
GAMEPLAY_Wolfattack,Wolf attack!,,Chó sói tấn công!
GAMEPLAY_WolfCarcass,Wolf Carcass,,
GAMEPLAY_WolfMeatCooked,Wolf Meat (Cooked),,
GAMEPLAY_WolfMeatCookedDescription,Cooked flesh from a wolf.,,
GAMEPLAY_WolfMeatRaw,Wolf Meat (Raw),,
GAMEPLAY_WolfMeatRawDescription,Flesh from a wolf. Cook to eat safely.,,
GAMEPLAY_WolfPelt,Fresh Wolf Pelt,,
GAMEPLAY_WolfPeltDescription,"Freshly harvested fur from a Wolf. Warm, and striking to look at.",,
GAMEPLAY_WolfSkinCape,Wolfskin Coat,,
GAMEPLAY_WolfSkinCapeDescription,"Handcrafted outerlayer. Warm, tough, and tells Wolves -- and everyone else -- you are not to be trifled with.",,
GAMEPLAY_WoodMatches,Wood Matches,,Que diêm
GAMEPLAY_WoodMatchesDescription,Wooden strike-anywhere matches.,,
GAMEPLAY_WoodStove,Wood Stove,,
GAMEPLAY_WoolLongUnderwear,Wool Long Underwear,,
GAMEPLAY_WoolLongUnderwearDescription,Wool Long-Johns to keep your lower body warm.,,
GAMEPLAY_WoolSocks,Wool Socks,,
GAMEPLAY_WoolSocksDescription,Wool socks. Tough and warm.,,
GAMEPLAY_WorkBench,Work Bench,,
GAMEPLAY_WorkBoots,Work Boots,,
GAMEPLAY_WorkBootsDescription,Work boots. Steel-toed. The kind you'd find on a construction site.,,
GAMEPLAY_WornOut,{item-name} ruined.,,
GAMEPLAY_Woundbecameinfected,Wound became infected.,,
GAMEPLAY_WoundBecameInfected,Your wound has become infected,,
GAMEPLAY_WoundHealedClean,Your wound has healed cleanly,,
GAMEPLAY_xTimeScale,x Time Scale,,
GAMEPLAY_Yield,Yield,,Mang lại
GAMEPLAY_You are too full to eat,You are too full to eat,,Bạn quá no để ăn
GAMEPLAY_Youarenotthirsty,You are not thirsty,,Bạn không khát
GAMEPLAY_YouAreNotTired,You are not tired enough,,Bạn không đủ mệt
GAMEPLAY_Youaretoofulltoeat,You are too full to eat,,Bạn quá no để ăn
GAMEPLAY_YouFeelRested,You feel rested,,Bạn cảm thấy đã được nghỉ ngơi
GAMEPLAY_YouForaged,You foraged,,
GAMEPLAY_Youhavenoafflictions,You have no afflictions,,Bạn không có phiền não
GAMEPLAY_Youhavesurvived,You have survived,,Bạn đã sóng sốt
GAMEPLAY_Youhavesurvivedfor,You have survived for:,,
GAMEPLAY_Yousurvivedfor,You survived for,,
GAMEPLAY_ZeroHourMinute,0h 0m,,0h 0m
GAMEPLAY_ZeroTime,0m,,0m
SCENENAME_Barn,Barn,,
SCENENAME_Basement,Basement,,
SCENENAME_Cabin,Cabin,,
SCENENAME_CampOffice,Camp Office,,
SCENENAME_CarterHydroDam,Upper Dam,,
SCENENAME_Cave,Cave,a cave you can enter,Hang động
SCENENAME_CoastalHighway,Coastal Highway,,
SCENENAME_CoastalHouse,Coastal House,,
SCENENAME_FarmHouse,Farmhouse,,
SCENENAME_FarmHouseBasement,Farmhouse Basement,,
SCENENAME_FishingCabin,Fishing Cabin,,
SCENENAME_Mine,Abandoned Mine,,
SCENENAME_MysteryLake,Mystery Lake,,
SCENENAME_PrepperCache,Prepper Cache,,
SCENENAME_QuonsetGasStation,Quonset Garage,,
SCENENAME_RadioControlHut,Radio Control Hut,,
SCENENAME_Ravine,Ravine,,
SCENENAME_RuralRegion,Pleasant Valley,location name,
SCENENAME_RuralStore,Rural Store,,
SCENENAME_TheOutdoors,The Outdoors,,
SCENENAME_Trailer,Trailer,,
SCENENAME_TrappersHomestead,Trapper's Cabin,,
SUBTITLE_AnkleSprain1,Damn it...sprained my ankle.,,
SUBTITLE_AnkleSprain2,Oooh...that's sore.,,
SUBTITLE_AnkleSprain3,That's going to slow things down...,,
SUBTITLE_Atk1,[Attack grunt],,
SUBTITLE_Atk2,[Attack grunt],,
SUBTITLE_Atk3,[Attack grunt],,
SUBTITLE_Atk4,[Attack grunt],,
SUBTITLE_Atk5,[Attack grunt],,
SUBTITLE_Bleeding1,Gotta stop that blood loss.,,
SUBTITLE_Bleeding2,Gotta stop that bleeding.,,
SUBTITLE_Bleeding3,Need some first aid.,,
SUBTITLE_BleedingSerious1,Feeling... faint.,,
SUBTITLE_BleedingSerious2,I'm going to bleed out soon.,,
SUBTITLE_BreathHighIntensity1,[Heavy breathing],,[Thở dốc]
SUBTITLE_BreathHighIntensity10,[Heavy breathing],,[Thở dốc]
SUBTITLE_BreathHighIntensity2,[Heavy breathing],,[Thở dốc]
SUBTITLE_BreathHighIntensity3,[Heavy breathing],,[Thở dốc]
SUBTITLE_BreathHighIntensity4,[Heavy breathing],,[Thở dốc]
SUBTITLE_BreathHighIntensity5,[Heavy breathing],,[Thở dốc]
SUBTITLE_BreathHighIntensity6,[Heavy breathing],,[Thở dốc]
SUBTITLE_BreathHighIntensity7,[Heavy breathing],,[Thở dốc]
SUBTITLE_BreathHighIntensity8,[Heavy breathing],,[Thở dốc]
SUBTITLE_BreathHighIntensity9,[Heavy breathing],,[Thở dốc]
SUBTITLE_BreathLowIntensity1,[Quiet breathing],,[Thở nhẹ]
SUBTITLE_BreathLowIntensity10,[Quiet breathing],,[Thở nhẹ]
SUBTITLE_BreathLowIntensity2,[Quiet breathing],,[Thở nhẹ]
SUBTITLE_BreathLowIntensity3,[Quiet breathing],,[Thở nhẹ]
SUBTITLE_BreathLowIntensity4,[Quiet breathing],,[Thở nhẹ]
SUBTITLE_BreathLowIntensity5,[Quiet breathing],,[Thở nhẹ]
SUBTITLE_BreathLowIntensity6,[Quiet breathing],,[Thở nhẹ]
SUBTITLE_BreathLowIntensity7,[Quiet breathing],,[Thở nhẹ]
SUBTITLE_BreathLowIntensity8,[Quiet breathing],,[Thở nhẹ]
SUBTITLE_BreathLowIntensity9,[Quiet breathing],,[Thở nhẹ]
SUBTITLE_BreathMediumIntensity1,[Moderate breathing],,[Thở đều]
SUBTITLE_BreathMediumIntensity10,[Moderate breathing],,[Thở đều]
SUBTITLE_BreathMediumIntensity2,[Moderate breathing],,[Thở đều]
SUBTITLE_BreathMediumIntensity3,[Moderate breathing],,[Thở đều]
SUBTITLE_BreathMediumIntensity4,[Moderate breathing],,[Thở đều]
SUBTITLE_BreathMediumIntensity5,[Moderate breathing],,[Thở đều]
SUBTITLE_BreathMediumIntensity6,[Moderate breathing],,[Thở đều]
SUBTITLE_BreathMediumIntensity7,[Moderate breathing],,[Thở đều]
SUBTITLE_BreathMediumIntensity8,[Moderate breathing],,[Thở đều]
SUBTITLE_BreathMediumIntensity9,[Moderate breathing],,[Thở đều]
SUBTITLE_BurnReaction1,Ow...hot hot hot.,,Á...nóng nóng nóng
SUBTITLE_BurnReaction2,Shit that burns.,,
SUBTITLE_BurnReaction3,Holy shit...that's hot.,,Cứt thật... Nó nóng
SUBTITLE_BurnReaction4,Oh damn it...it burns...,,
SUBTITLE_BurnReaction5,Climbing into the fire...not a good idea.,,
SUBTITLE_Burns1,That hurts so much...,,
SUBTITLE_Burns2,It feels like it's still burning...,,
SUBTITLE_Burns3,Arggh the pain.,,
SUBTITLE_CatchBreath1,[Gasp],,
SUBTITLE_CatchBreath2,[Gasp],,
SUBTITLE_CatchBreath3,[Gasp],,
SUBTITLE_CatchBreath4,[Gasp],,
SUBTITLE_CombatAnimalGrappling1,Get away you mother...,,
SUBTITLE_CombatAnimalGrappling2,You're gonna die!!!!!,,
SUBTITLE_CombatAnimalGrappling3,I'm gonna kill you and eat you ya bastard!!,,
SUBTITLE_CombatAnimalGrappling4,Let go of me!!!,,
SUBTITLE_CombatAnimalGrappling5,It's not gonna be that easy for you!!,,
SUBTITLE_CombatAnimalGrappling6,You're gonna have to do better than that!!,,
SUBTITLE_CombatAnimalGrappling7,[Extertion grunts],,
SUBTITLE_CombatAnimalGrappling8,[Extertion grunts],,
SUBTITLE_ConditionDehydrated1,My tongue feels like sandpaper.,,
SUBTITLE_ConditionDehydrated2,I need to find something to drink.,,
SUBTITLE_ConditionDehydrated3,I'm so thirsty I can't think straight.,,
SUBTITLE_ConditionDehydrated4,"I need somethink to drink, and soon.",,
SUBTITLE_ConditionDehydrated5,I'll die if I don't drink something soon.,,
SUBTITLE_ConditionDehydrated6,Mouth so dry.,,
SUBTITLE_ConditionDehydrated7,I need some water.,,
SUBTITLE_ConditionDehydrated8,Need a drink.,,
SUBTITLE_ConditionDehydrated9,Need… water.,,
SUBTITLE_ConditionEncumberanceHigh1,Too much to carry.,,
SUBTITLE_ConditionEncumberanceHigh2,I can't carry this any further.,,
SUBTITLE_ConditionEncumberanceHigh3,I'm going to have leave some of this gear behind.,,
SUBTITLE_ConditionEncumberanceHigh4,Can't move.,,
SUBTITLE_ConditionEncumberanceHigh5,Too heavy. Can't move.,,
SUBTITLE_ConditionEncumberanceLow1,This pack is getting kinda heavy.,,
SUBTITLE_ConditionEncumberanceLow2,I'm not sure I can carry much more.,,
SUBTITLE_ConditionEncumberanceLow3,I wonder if I can drop any of this gear...,,
SUBTITLE_ConditionEncumberanceLow4,Too heavy,,
SUBTITLE_ConditionEncumberanceLow5,Too much stuff to carry.,,
SUBTITLE_ConditionEncumberanceLow6,I might have to drop some gear.,,
SUBTITLE_ConditionEncumberanceLow7,I need to drop something.,,
SUBTITLE_ConditionEncumberanceLow8,I'm going to have to leave something behind.,,
SUBTITLE_ConditionEncumberanceLow9,Something's got to go.,,
SUBTITLE_ConditionEncumberanceMedium1,I'm not going to be able to carry this load for much longer.,,
SUBTITLE_ConditionEncumberanceMedium2,This pack is getting too heavy to carry.,,
SUBTITLE_ConditionEncumberanceMedium3,I can barely walk with this much gear.,,
SUBTITLE_ConditionEncumberanceMedium4,All this gear is slowing me down.,,
SUBTITLE_ConditionEncumberanceMedium5,This gear is starting to slow me down.,,
SUBTITLE_ConditionEncumberanceMedium6,Starting to weigh me down.,,
SUBTITLE_ConditionEncumberanceMedium7,Feels like a lot of gear.,,
SUBTITLE_ConditionFair1,I don't feel so good.,,
SUBTITLE_ConditionFair2,I'm not sure I'm going to make it.,,
SUBTITLE_ConditionFair3,I'm not ready to die.,,
SUBTITLE_ConditionFair4,I don't have much more in me.,,
SUBTITLE_ConditionFair5,(Needs new line recorded),,
SUBTITLE_ConditionFatigue1,If I don't rest soon I'm going to faint.,,
SUBTITLE_ConditionFatigue2,I think I need to lay down.,,
SUBTITLE_ConditionFatigue3,I need to find a place to rest.,,
SUBTITLE_ConditionFatigue4,I'm going to need to rest soon.,,
SUBTITLE_ConditionFatigue5,I just need to close my eyes.,,
SUBTITLE_ConditionFatigueHigh1,So tired I could just lay down right here.,,
SUBTITLE_ConditionFatigueHigh2,I could lay down and have a little sleep right here.,,
SUBTITLE_ConditionFatigueHigh3,I'd lay down right here if I ever thought I'd wake up again.,,
SUBTITLE_ConditionFatigueHigh4,I'm so tired.,,
SUBTITLE_ConditionFatigueHigh5,I'm too tired to think straight.,,
SUBTITLE_ConditionFreezing1,Damn...I'm freezing.,,
SUBTITLE_ConditionFreezing2,Wait...I'm so cold I'm warming up again.,,
SUBTITLE_ConditionFreezing3,So...cold.,,
SUBTITLE_ConditionFreezing4,I'm too cold to think.,,
SUBTITLE_ConditionFreezing5,I'll die if I don't warm up soon.,,
SUBTITLE_ConditionFreezing6,I'm so cold...just want to lay down for a bit...,,
SUBTITLE_ConditionFreezing7,Goddamn freezing.,,
SUBTITLE_ConditionFreezing8,Never felt so cold in my life,,
SUBTITLE_ConditionPoor1,Things are starting to look pretty grim.,,
SUBTITLE_ConditionPoor2,I think this might be the end.,,
SUBTITLE_ConditionPoor3,I'm going to die out here.,,
SUBTITLE_ConditionPoor4,Not going to pull through this time...,,
SUBTITLE_ConditionPoor5,In the end...did any of it really matter?,,
SUBTITLE_ConditionStarving1,Where can I find something to eat?,,
SUBTITLE_ConditionStarving10,Need something to eat.,,Cần ăn gì đó.
SUBTITLE_ConditionStarving11,Gotta eat soon.,,
SUBTITLE_ConditionStarving2,I'll die if I don't get some food soon.,,
SUBTITLE_ConditionStarving3,I'm so hungry.,,Mình đói.
SUBTITLE_ConditionStarving4,Can you eat trees?,,
SUBTITLE_ConditionStarving5,My stomach feels like an empty pit...,,
SUBTITLE_ConditionStarving6,Never thought I'd be dying from starvation.,,
SUBTITLE_ConditionStarving7,I think my stomach is eating itself.,,
SUBTITLE_ConditionStarving8,"Dammit, so hungry.",,
SUBTITLE_ConditionStarving9,Getting weak.,,
SUBTITLE_ConditionVeryCold1,My fingers feel numb.,,
SUBTITLE_ConditionVeryCold2,The cold is making my head feel thick...,,
SUBTITLE_ConditionVeryCold3,I need to find some place to escape this cold.,,
SUBTITLE_ConditionVeryCold4,Can't feel my feet.,,
SUBTITLE_ConditionVeryCold5,Can't feel my hands.,,
SUBTITLE_ConditionVeryHungry1,I could eat anything right now.,,
SUBTITLE_ConditionVeryHungry2,I've never been so hungry in my life.,,
SUBTITLE_ConditionVeryHungry3,All I can think about is food.,,
SUBTITLE_ConditionVeryHungry4,I need to find food,,
SUBTITLE_ConditionVeryHungry5,Going to need to eat soon.,,
SUBTITLE_ConditionVeryHungry6,I could eat anything.,,
SUBTITLE_ConditionVeryHungry7,I could eat a horse.,,
SUBTITLE_ConditionVeryHungry8,I'd eat anything right about now.,,
SUBTITLE_ConditionVeryThirsty1,I would drink almost anything about now.,,
SUBTITLE_ConditionVeryThirsty2,"Surrounded by snow, and nothing to drink...",,
